"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"69450","36.888384","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=619, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"69683","36.994168","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=620, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"70469","37.093279","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=621, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"70726","37.195585","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=622, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"70932","37.297942","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=623, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"71124","37.400394","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=624, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"71313","37.502789","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=625, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"71532","37.605340","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=626, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"71691","37.707590","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=627, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"72024","37.809947","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=628, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"72228","37.912381","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=629, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"72496","38.014745","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=630, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"72995","38.117196","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=631, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"73243","38.219593","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=632, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"73423","38.322199","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=633, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"73628","38.424383","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=634, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"73775","38.526784","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=635, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"74017","38.629137","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=636, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"74358","38.731553","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=637, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"74504","38.834062","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=638, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"74663","38.936385","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=639, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"74852","39.038838","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=640, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"74989","39.141206","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=641, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"75172","39.243692","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=642, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"75324","39.345936","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=643, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"75473","39.449014","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=644, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"75669","39.550769","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=645, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"75797","39.653155","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=646, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"75995","39.755540","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=647, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"76138","39.858262","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=648, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"76299","39.960363","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=649, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"76732","40.062726","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=650, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"76918","40.165178","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=651, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
