"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"2345","13.754262","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-50 dBm","-86 dBm","36 dB","Beacon frame, SN=3646, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2421","14.163826","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=3650, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2442","14.266332","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=3651, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2484","14.471005","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=3653, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2503","14.575649","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-50 dBm","-86 dBm","36 dB","Beacon frame, SN=3654, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2515","14.677993","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-49 dBm","-86 dBm","37 dB","Beacon frame, SN=3655, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2526","14.778244","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=3656, FN=0, Flags=........C, BI=100, SSID=""Z5319476""[Malformed Packet: length of contained item exceeds length of containing item]"
"2539","14.880671","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=3657, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2553","14.983036","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-49 dBm","-86 dBm","37 dB","Beacon frame, SN=3658, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2576","15.087468","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=3659, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2591","15.190009","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=3660, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2605","15.292436","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=3661, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2618","15.392610","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=3662, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2631","15.495022","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=3663, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2648","15.597412","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-52 dBm","-86 dBm","34 dB","Beacon frame, SN=3664, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2663","15.699792","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-48 dBm","-86 dBm","38 dB","Beacon frame, SN=3665, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2680","15.802265","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-55 dBm","-86 dBm","31 dB","Beacon frame, SN=3666, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2692","15.906113","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-56 dBm","-86 dBm","30 dB","Beacon frame, SN=3667, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2706","16.009219","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-50 dBm","-86 dBm","36 dB","Beacon frame, SN=3668, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2723","16.109415","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=3669, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2756","16.314308","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-48 dBm","-86 dBm","38 dB","Beacon frame, SN=3671, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2781","16.519042","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-86 dBm","86 dB","Beacon frame, SN=3673, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2807","16.723809","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=3675, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2817","16.827752","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=3676, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2841","16.928665","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-52 dBm","-86 dBm","34 dB","Beacon frame, SN=3677, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2852","17.033531","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-49 dBm","-86 dBm","37 dB","Beacon frame, SN=3678, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2870","17.134587","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-49 dBm","-86 dBm","37 dB","Beacon frame, SN=3679, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2899","17.340201","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-51 dBm","-86 dBm","35 dB","Beacon frame, SN=3681, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2911","17.442445","5e:dd:03:31:69:b5","ff:ff:ff:ff:ff:ff","802.11","290","-48 dBm","-86 dBm","38 dB","Beacon frame, SN=3682, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
