"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"103235","58.137918","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-92 dBm","33 dB","Beacon frame, SN=1226, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"103411","58.239900","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1227, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"103825","58.444664","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1229, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"103985","58.547073","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1230, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"104150","58.649467","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1231, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"104313","58.752178","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-92 dBm","35 dB","Beacon frame, SN=1232, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"104486","58.854274","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1233, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"104678","58.956667","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-92 dBm","33 dB","Beacon frame, SN=1234, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"104862","59.059079","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1235, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"105033","59.161790","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-92 dBm","33 dB","Beacon frame, SN=1236, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"105205","59.263896","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-92 dBm","32 dB","Beacon frame, SN=1237, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"105357","59.366254","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-92 dBm","33 dB","Beacon frame, SN=1238, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"105524","59.468676","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-92 dBm","33 dB","Beacon frame, SN=1239, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"105690","59.571096","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-92 dBm","35 dB","Beacon frame, SN=1240, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"105847","59.673468","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-92 dBm","33 dB","Beacon frame, SN=1241, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"106057","59.775898","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-92 dBm","33 dB","Beacon frame, SN=1242, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"106223","59.878298","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1243, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"106416","59.980650","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1245, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"106570","60.083361","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-92 dBm","35 dB","Beacon frame, SN=1246, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"106751","60.185434","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-92 dBm","35 dB","Beacon frame, SN=1247, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"106900","60.287864","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-92 dBm","35 dB","Beacon frame, SN=1248, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"107067","60.390291","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-92 dBm","35 dB","Beacon frame, SN=1249, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"107236","60.492906","5a:68:3f:52:43:bd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-92 dBm","34 dB","Beacon frame, SN=1250, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
